group,total_importance_mean,total_importance_std,average_per_feature_mean,average_per_feature_std
Radiomics,21.0979540283695,2.6062204425728237,1.7581628356974583,0.21718503688106863
Patient,27.724067010441765,5.9480973726353215,1.8482711340294506,0.39653982484235484
Procedural,46.0467346053616,10.954531891854803,5.116303845040177,1.2171702102060893
Electrocardiographic,5.131244355827134,3.9246210858946236,2.565622177913567,1.9623105429473118
