epoch,train_loss,validation_loss
1,0.7280554473400116,0.8077178446495985
2,0.6869406402111053,0.7994015440879654
3,0.6820021569728851,0.7950652249245134
4,0.6972017884254456,0.7920251024234366
5,0.6908590495586395,0.7900406471119089
6,0.6761056184768677,0.7900809123202643
7,0.7448659241199493,0.785816474182043
8,0.6775091886520386,0.7840082275716242
9,0.6697291433811188,0.7840176197805766
10,0.6845016479492188,0.7845122067880733
11,0.667041152715683,0.785743484496879
12,0.6526134312152863,0.7897270097477515
13,0.6576781570911407,0.7958190225497065
14,0.6279553472995758,0.8059868264999249
15,0.6496671438217163,0.8188678834194935
16,0.6347662806510925,0.8342570351817788
17,0.6175810098648071,0.8516638954379979
18,0.618628203868866,0.8722115252351353
19,0.572706550359726,0.8959373540923896
20,0.5626576095819473,0.9192945083636154
21,0.5585116893053055,0.93988044775299
22,0.5684834718704224,0.9517268779021691
23,0.4881986528635025,0.9625107062030231
