,precision,recall,f1-score,support
No Event,0.7142857142857143,0.7851239669421488,0.7480314960629921,121.0
Pacemaker,0.75,0.6724137931034483,0.7090909090909091,116.0
accuracy,0.729957805907173,0.729957805907173,0.729957805907173,0.729957805907173
macro avg,0.7321428571428572,0.7287688800227985,0.7285612025769506,237.0
weighted avg,0.7317661241711876,0.729957805907173,0.7289719682623101,237.0
