feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
DM,Diabetes Mellitus,Patient,0.7487675055970369,0.0712681180071005,89.73768347218727,0.4640781995126651
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.03813671472613743,0.006465025088829187,4.570578195743711,0.4640781995126651
CT_Area_Deri,Area-Derived Diameter,Patient,0.025417035736893377,0.005205369146148531,3.04616037783309,0.4640781995126651
CT_AnnScLCC,LCC Annular Calcification,Radiomics,0.005306612396522026,0.004605461591855256,0.6359825980548843,0.4640781995126651
NTPROBNPPRE,NT-proBNP,Patient,0.0021469236467981934,0.001116538107615929,0.2573027718419899,0.4640781995126651
QRSADM,QRS,Electrocardiographic,-0.00212414241620007,0.0031654384793320185,0.2545725053103363,0.4640781995126651
CABGPRE,CABG,Patient,-0.0018170985721304377,0.00029709259044765566,0.21777416258680388,0.4640781995126651
SEX,Sex,Patient,-0.0017670720633723215,0.0010943406995040307,0.21177862595547675,0.4640781995126651
model4,Model Size:29mm,Procedural,0.001436354277076901,0.0007336496383154712,0.17214302771789436,0.4640781995126651
nyha2,NYHA Class:2,Patient,-0.0011579681768621453,0.0010353632348104882,0.13877923514224172,0.4640781995126651
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.0006804151592659901,0.0004918048619147412,0.08154584665530248,0.4640781995126651
ECC_INDEX,Eccentricity Index,Patient,-0.0005941803671796642,0.0004094808719001519,0.07121084891743695,0.4640781995126651
PQADM,PQ Interval,Electrocardiographic,-0.0005550246941410708,0.00015542390813553503,0.0665181514285468,0.4640781995126651
BMI,BMI,Patient,-0.0005515653259118514,0.00015305277970214582,0.06610355585803002,0.4640781995126651
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.0004416483451516906,0.0004928081075755245,0.05293031429246703,0.4640781995126651
CT_AnnMean,Mean Annulus Diameter,Patient,-0.00039577786967455176,0.00013976258670052915,0.0474328665823076,0.4640781995126651
CT_AnnScTot,Total Annular Calcification,Radiomics,-0.00038500203620578377,0.0008849228586557226,0.04614141319291638,0.4640781995126651
CT_AnnScRCC,RCC Annular Calcification,Radiomics,-0.00032502127504270285,0.00039181682642379443,0.03895288735620609,0.4640781995126651
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.0002714553054826596,0.0002682234513994671,0.032533156284373366,0.4640781995126651
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.00025849676789233553,0.00038428421052616034,0.030980111933689748,0.4640781995126651
AGE,Age,Patient,0.0001853489028705413,0.0003253545284770286,0.022213545664553795,0.4640781995126651
PREDILATION,Predilation,Procedural,0.00017662860719888095,0.00029971157675045667,0.021168442709473802,0.4640781995126651
model2,Model Size: 23mm,Procedural,-0.00017208509215943524,0.00024627586691120743,0.02062391518736158,0.4640781995126651
nyha3,NYHA Class:3,Patient,-0.0001585435712398553,0.0001913516825439402,0.01900100192132137,0.4640781995126651
LVEFPRE,LVEF,Patient,-0.00014518878732722174,0.0011783545549503684,0.017400468561322272,0.4640781995126651
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.00014122374070737464,0.00012296432942604117,0.01692526885531928,0.4640781995126651
model8,Model Size:27mm,Procedural,-0.00013663642730292745,0.00040547738432588157,0.016375492222120213,0.4640781995126651
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.00011943949413711907,0.00013725102606770961,0.014314488060494401,0.4640781995126651
brand2,Brand: Sapien 3,Procedural,-0.00010479465818569178,0.00022658532387414003,0.012559345585309923,0.4640781995126651
CT_ValScLCC,LCC Valvular Calcification,Radiomics,9.789207339748751e-05,0.0003588937589776964,0.01173209017661012,0.4640781995126651
AFPRE,AF,Patient,-9.315028632069788e-05,6.621613226501654e-05,0.011163800307446839,0.4640781995126651
brand8,Brand: Evolut R,Procedural,-9.044415962474738e-05,8.833979769205385e-05,0.01083947862005843,0.4640781995126651
nyha4,NYHA Class:4,Patient,-8.565449254105406e-05,0.00041696484766942616,0.010265450466485032,0.4640781995126651
CT_AnnScNCC,NCC Annular Calcification,Radiomics,-6.464804399684e-05,0.0005340808003957842,0.0077478865815079545,0.4640781995126651
model3,Model Size:26mm,Procedural,-5.9767750834316405e-05,0.00015660125754994827,0.0071629971468084325,0.4640781995126651
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,2.6181420197457506e-05,0.00016014642347174325,0.0031377697095153834,0.4640781995126651
model7,Model Size:25mm,Procedural,2.206420889239169e-06,0.00018061882241296673,0.0002644333493172758,0.4640781995126651
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.4640781995126651
