feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
DM,Diabetes Mellitus,Patient,0.9261475723525436,0.06736984869505307,96.22540593294389,0.3711135905177029
nyha2,NYHA Class:2,Patient,-0.010524872705826971,0.004685890768187791,1.0935191957996608,0.3711135905177029
model4,Model Size:29mm,Procedural,0.00329293864225384,0.001292919642082107,0.34213160734014914,0.3711135905177029
BMI,BMI,Patient,-0.002507553834471643,0.00228087112594044,0.26053125098393626,0.3711135905177029
nyha3,NYHA Class:3,Patient,-0.0024835122850987434,0.0015294335957126998,0.2580333684469365,0.3711135905177029
ECC_INDEX,Eccentricity Index,Patient,-0.0016100449189397014,0.0018352658780707099,0.16728136046581626,0.3711135905177029
model3,Model Size:26mm,Procedural,0.0015750815222181137,0.0007698867412643773,0.1636487136363446,0.3711135905177029
brand8,Brand: Evolut R,Procedural,0.0015207925617707675,0.0006975321376746172,0.15800816842230944,0.3711135905177029
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.0013693929951984819,0.00048023452894902863,0.14227797035626694,0.3711135905177029
CABGPRE,CABG,Patient,0.0012356574823776279,0.0034282088076466287,0.1283830421687982,0.3711135905177029
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.0010259070252661706,0.0003994136302204882,0.1065902701714565,0.3711135905177029
QRSADM,QRS,Electrocardiographic,0.000957246375014853,0.0016152120817770374,0.099456526976222,0.3711135905177029
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.0009282069506976965,0.001269621783873384,0.09643937239266097,0.3711135905177029
nyha4,NYHA Class:4,Patient,-0.0009210565168985885,0.0004137611520814749,0.09569645256491899,0.3711135905177029
CT_Area_Deri,Area-Derived Diameter,Patient,-0.0007839937341568293,0.0008908785592309536,0.08145582579944254,0.3711135905177029
CT_AnnMean,Mean Annulus Diameter,Patient,-0.0006831575478363882,0.00033093721555476393,0.07097909050253146,0.3711135905177029
brand2,Brand: Sapien 3,Procedural,0.0006501136209167479,0.0009537261611998833,0.06754587383557618,0.3711135905177029
CT_ValScRCC,RCC Valvular Calcification,Radiomics,-0.0006108083068235848,0.0008714901550617887,0.06346210801159496,0.3711135905177029
PQADM,PQ Interval,Electrocardiographic,-0.0004445905766178759,0.000694247178994287,0.046192323973108566,0.3711135905177029
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,-0.000435389265577657,0.0005276796959150183,0.045236320938180447,0.3711135905177029
AGE,Age,Patient,0.00040739921454661097,8.617363180088497e-05,0.042328194735673945,0.3711135905177029
PREDILATION,Predilation,Procedural,0.0003894590267518483,0.001787126088770807,0.04046423492559828,0.3711135905177029
AFPRE,AF,Patient,0.00035669144748095015,0.0005700890670161363,0.03705973038344109,0.3711135905177029
model2,Model Size: 23mm,Procedural,-0.00027635820929321485,0.0006711658123594019,0.028713222024209336,0.3711135905177029
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.00016862945594925405,0.00023895030649207156,0.017520358888110068,0.3711135905177029
SEX,Sex,Patient,-0.0001569142886783448,0.0005330328171046405,0.01630316979225994,0.3711135905177029
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.00014954341982805763,0.0004008775174606742,0.01553734707850414,0.3711135905177029
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.000144870781079931,0.00013033496221046388,0.015051866606775023,0.3711135905177029
LVEFPRE,LVEF,Patient,-0.0001351776658056525,0.00020025881852670164,0.014044765816505695,0.3711135905177029
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.00012360813899737756,0.00019949467684198284,0.01284270855607317,0.3711135905177029
model7,Model Size:25mm,Procedural,-0.0001153166851567189,0.00013922482770670054,0.011981238380683086,0.3711135905177029
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.00011513782139492834,0.00011207242866572375,0.011962654692080124,0.3711135905177029
CT_AnnScLCC,LCC Annular Calcification,Radiomics,9.279457961963722e-05,0.00024169997671244023,0.009641223881411332,0.3711135905177029
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,6.766364653628675e-05,0.0002167008451829559,0.007030155937588517,0.3711135905177029
CT_AnnScTot,Total Annular Calcification,Radiomics,6.519483792163382e-05,0.0006541778265337955,0.006773650259435859,0.3711135905177029
NTPROBNPPRE,NT-proBNP,Patient,-4.530402332048045e-06,1.0786359104041718e-05,0.0004707023118718878,0.3711135905177029
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.3711135905177029
model8,Model Size:27mm,Procedural,0.0,0.0,0.0,0.3711135905177029
