epoch,train_loss,validation_loss
1,0.6656168922781944,0.21740488050123846
2,0.6554771363735199,0.21732118336376663
3,0.6114534884691238,0.21703976389256757
4,0.6284245103597641,0.2169339349959654
5,0.5274746045470238,0.21716212917461336
6,0.5028325170278549,0.21748093766388116
7,0.48000980727374554,0.21778352838057005
8,0.49140816926956177,0.2186246497572645
9,0.4765720861032605,0.2195931872581345
10,0.45471386052668095,0.22102910749965782
11,0.42150048818439245,0.22249924332571022
12,0.4548011114820838,0.2237442981732717
13,0.4289229828864336,0.22476047736141522
14,0.47498511150479317,0.22533502104844857
15,0.399654675507918,0.22594391427390167
16,0.3925664988346398,0.22639976813763876
17,0.3936242926865816,0.2269831784770963
18,0.3631283091381192,0.2279851516755246
19,0.36853877105750144,0.22997431910714433
