,precision,recall,f1-score,support
No Event,0.6081871345029239,0.859504132231405,0.7123287671232876,121.0
Pacemaker,0.7424242424242424,0.4224137931034483,0.5384615384615384,116.0
accuracy,0.6455696202531646,0.6455696202531646,0.6455696202531646,0.6455696202531646
macro avg,0.6753056884635832,0.6409589626674266,0.6253951527924131,237.0
weighted avg,0.673889685215468,0.6455696202531646,0.6272291952888449,237.0
