,precision,recall,f1-score,support
No Event,0.5454545454545454,0.7272727272727273,0.6233766233766234,33.0
Pacemaker,0.5909090909090909,0.3939393939393939,0.4727272727272727,33.0
accuracy,0.5606060606060606,0.5606060606060606,0.5606060606060606,0.5606060606060606
macro avg,0.5681818181818181,0.5606060606060606,0.548051948051948,66.0
weighted avg,0.5681818181818182,0.5606060606060606,0.548051948051948,66.0
