feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
CT_AnnScLCC,LCC Annular Calcification,Radiomics,-0.013934393909731658,0.0046097136590633496,20.520060617409158,0.7145306196479411
ECC_INDEX,Eccentricity Index,Patient,0.007500211345321817,0.005044076480284994,11.04495771013749,0.7145306196479411
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.007157267948699175,0.0028981560876958383,10.539932566408629,0.7145306196479411
PQADM,PQ Interval,Electrocardiographic,0.0052605251896782335,0.005920392494873016,7.746752135104808,0.7145306196479411
CT_ValScNCC,NCC Valvular Calcification,Radiomics,-0.0049972485832695535,0.0028279176151898198,7.359045862578749,0.7145306196479411
nyha2,NYHA Class:2,Patient,-0.004759542803571648,0.002476450282442123,7.00899568887848,0.7145306196479411
LVEFPRE,LVEF,Patient,0.0042826202912309205,0.0024779168374955618,6.306670282661565,0.7145306196479411
NTPROBNPPRE,NT-proBNP,Patient,0.003816273245828272,0.002993183028987951,5.619918515602018,0.7145306196479411
CT_AnnScTot,Total Annular Calcification,Radiomics,-0.0024624385913614155,0.0028216402494846116,3.626235162341333,0.7145306196479411
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.001935812994069508,0.001541280175372734,2.8507160224982893,0.7145306196479411
BMI,BMI,Patient,-0.001598866369563212,0.0006568968018605895,2.354521842508028,0.7145306196479411
model7,Model Size:25mm,Procedural,0.0011211653187465976,0.0007979586098820312,1.6510499453262615,0.7145306196479411
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.0010464834676291446,0.0009093485729564101,1.5410719927954235,0.7145306196479411
QRSADM,QRS,Electrocardiographic,-0.0009180632172644199,0.003250089442659409,1.351957823994252,0.7145306196479411
CT_AnnMean,Mean Annulus Diameter,Patient,0.000907469726344945,0.00025119862254524827,1.3363576423698627,0.7145306196479411
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.0008526162886319133,0.0009634860033408417,1.255579398677571,0.7145306196479411
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.0008160723237416346,0.0018341867525289133,1.2017640422575635,0.7145306196479411
brand2,Brand: Sapien 3,Procedural,-0.0006315753925301371,0.0010135588480709478,0.9300702580347804,0.7145306196479411
AFPRE,AF,Patient,-0.00058558449309416,0.001312837163335688,0.8623431612992474,0.7145306196479411
CT_Area_Deri,Area-Derived Diameter,Patient,0.0005395163564071437,0.00036102957453145227,0.7945023234793503,0.7145306196479411
model8,Model Size:27mm,Procedural,0.0005292065100715781,0.0001527690673622372,0.7793198424089518,0.7145306196479411
nyha4,NYHA Class:4,Patient,-0.0003494139110555627,0.0006197459650176741,0.5145537496552827,0.7145306196479411
CT_ValvScTot,Total Valvular Calcification,Radiomics,-0.0003257633662091308,0.0004536801830915295,0.4797254954070229,0.7145306196479411
SEX,Sex,Patient,-0.00031963288916529996,0.0008139794533936481,0.47069763518088215,0.7145306196479411
model2,Model Size: 23mm,Procedural,0.00028621993933448665,0.000571433199041596,0.42149307268779096,0.7145306196479411
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.0002564887409130856,0.0006832975522621012,0.3777103292267144,0.7145306196479411
CT_ValScLCC,LCC Valvular Calcification,Radiomics,-0.00018106945086564518,0.00039395686168146934,0.26664640972501263,0.7145306196479411
CT_AnnScNCC,NCC Annular Calcification,Radiomics,-0.00011325986757317885,0.0006915719716198245,0.1667886930122044,0.7145306196479411
DM,Diabetes Mellitus,Patient,8.474690132946883e-05,0.0005770713410241929,0.12479994204870172,0.7145306196479411
AGE,Age,Patient,-8.175287403411335e-05,0.0004314425411100482,0.1203908789786557,0.7145306196479411
nyha3,NYHA Class:3,Patient,-7.989904531562342e-05,0.005130597816468046,0.11766089460157131,0.7145306196479411
CT_ValScRCC,RCC Valvular Calcification,Radiomics,7.696310413696228e-05,0.0008249842983764079,0.11333737028142135,0.7145306196479411
PREDILATION,Predilation,Procedural,4.8705288238815034e-05,0.0014161579953302127,0.071724358700013,0.7145306196479411
model4,Model Size:29mm,Procedural,-2.5533548553080544e-05,0.00044012871263201424,0.0376012022827093,0.7145306196479411
model3,Model Size:26mm,Procedural,2.3799176035543822e-05,0.00033858134888826313,0.03504713144019016,0.7145306196479411
CABGPRE,CABG,Patient,0.0,0.0,0.0,0.7145306196479411
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.7145306196479411
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.7145306196479411
