feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
ECC_INDEX,Eccentricity Index,Patient,-0.030607836682936096,0.020125256820498937,37.90602573316113,0.7416213324793671
CT_AnnScLCC,LCC Annular Calcification,Radiomics,-0.004139806610121077,0.0017513058343552469,5.126909736193319,0.7416213324793671
QRSADM,QRS,Electrocardiographic,0.0037655618918911228,0.004536837416083844,4.663429416866045,0.7416213324793671
BMI,BMI,Patient,0.0032053364116895857,0.002335215452528609,3.9696227395476478,0.7416213324793671
nyha2,NYHA Class:2,Patient,0.0029965697367364762,0.0018846943527855906,3.7110773534436103,0.7416213324793671
CT_ValScNCC,NCC Valvular Calcification,Radiomics,-0.002911592164876886,0.003917865484311445,3.6058375725659575,0.7416213324793671
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,0.002879904676931577,0.002479463740237125,3.566594461531464,0.7416213324793671
CT_AnnMean,Mean Annulus Diameter,Patient,0.002546960485637295,0.001492665147487585,3.154262442981993,0.7416213324793671
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.0025315752857642424,0.003234245738751702,3.1352087676654725,0.7416213324793671
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.002487943391563707,0.0012039896583175686,3.081173204110792,0.7416213324793671
CT_ValScRCC,RCC Valvular Calcification,Radiomics,-0.0021795818287335678,0.0018889189317405246,2.699285341311474,0.7416213324793671
LVEFPRE,LVEF,Patient,-0.001974659175485227,0.00349939732128294,2.4455005525397207,0.7416213324793671
CT_AnnScTot,Total Annular Calcification,Radiomics,0.0017881505638722484,0.003435203346386328,2.2145204834648244,0.7416213324793671
PQADM,PQ Interval,Electrocardiographic,0.0017105064888579768,0.003288865530339304,2.1183628119506106,0.7416213324793671
CT_ValScLCC,LCC Valvular Calcification,Radiomics,-0.0016728722068366064,0.007313858198394625,2.0717549422887074,0.7416213324793671
SEX,Sex,Patient,0.0015856795396846479,0.0029440053781533827,1.9637718947103169,0.7416213324793671
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.0014918918881883458,0.0024216083605817784,1.8476213425527526,0.7416213324793671
nyha3,NYHA Class:3,Patient,0.0014625801621779954,0.0017822343607334667,1.8113204745122764,0.7416213324793671
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.0013427806365896133,0.0037022769831857663,1.662955729012135,0.7416213324793671
CT_ValvScTot,Total Valvular Calcification,Radiomics,-0.0011692500117389316,0.005817811148344031,1.4480481418075604,0.7416213324793671
CABGPRE,CABG,Patient,0.0009913727097264236,0.0019253125446797106,1.2277574477190616,0.7416213324793671
DM,Diabetes Mellitus,Patient,-0.0009467919268216773,0.00170871157795404,1.1725467406868364,0.7416213324793671
CT_Area_Deri,Area-Derived Diameter,Patient,-0.0007890601756300741,0.0024897963527198666,0.9772051397255777,0.7416213324793671
AFPRE,AF,Patient,-0.0006737506275538374,0.0013556740601064522,0.8344009702595988,0.7416213324793671
NTPROBNPPRE,NT-proBNP,Patient,0.0005057504402736557,0.0015612814113720535,0.6263425083635071,0.7416213324793671
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,-0.0004883953018024023,0.004417959181647889,0.6048491786548882,0.7416213324793671
AGE,Age,Patient,0.0004207353518488999,0.0016030150233118043,0.5210562654016726,0.7416213324793671
brand2,Brand: Sapien 3,Procedural,0.0004016258288545904,0.0016388847229634582,0.49739023248747566,0.7416213324793671
model2,Model Size: 23mm,Procedural,0.0003838759863326713,0.0010644777296514186,0.4754080847661202,0.7416213324793671
model7,Model Size:25mm,Procedural,0.0002942016232536426,0.0006613952424630931,0.3643516011050729,0.7416213324793671
nyha4,NYHA Class:4,Patient,0.00024248043522778762,0.0009169509995490727,0.30029791758059404,0.7416213324793671
model3,Model Size:26mm,Procedural,-0.00011649419716626141,0.0013555904877005996,0.14427128847070994,0.7416213324793671
model4,Model Size:29mm,Procedural,4.105116664641084e-05,0.001269218685722203,0.05083948256110028,0.7416213324793671
PREDILATION,Predilation,Procedural,0.0,0.0,0.0,0.7416213324793671
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.0,0.0,0.0,0.7416213324793671
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.7416213324793671
model8,Model Size:27mm,Procedural,0.0,0.0,0.0,0.7416213324793671
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.7416213324793671
