,precision,recall,f1-score,support
No Event,0.780952380952381,0.9318181818181818,0.8497409326424871,88.0
Pacemaker,0.9090909090909091,0.7228915662650602,0.8053691275167785,83.0
accuracy,0.8304093567251462,0.8304093567251462,0.8304093567251462,0.8304093567251462
macro avg,0.845021645021645,0.827354874041621,0.8275550300796328,171.0
weighted avg,0.8431482747272221,0.8304093567251462,0.8282037406808858,171.0
