epoch,train_loss,validation_loss
1,0.7010317146778107,0.3762189840068071
2,0.648722231388092,0.37663554090766954
3,0.6665992438793182,0.37788931162567857
4,0.634373128414154,0.3786124014907326
5,0.5970214605331421,0.3771550664512086
6,0.6252932250499725,0.37498827473033547
7,0.612174779176712,0.372476422904529
8,0.5999165177345276,0.36899257307882494
9,0.5964793264865875,0.36526290495002856
10,0.565305694937706,0.36086487394184374
11,0.5680926740169525,0.3558218226041725
12,0.5556041747331619,0.35044593900432325
13,0.5165961533784866,0.3488199964684676
14,0.563953161239624,0.35232126354893417
15,0.5044783651828766,0.35158359600401834
16,0.5029343813657761,0.34768781931150156
17,0.48249363899230957,0.34105329153205266
18,0.4831937700510025,0.32929219429347
19,0.4520581364631653,0.3125596873041229
20,0.3913261741399765,0.2919223137318887
21,0.4289611876010895,0.27216555539312576
22,0.3637842833995819,0.2513367559682802
23,0.27908921986818314,0.2333538278900249
24,0.3492410480976105,0.21442708694717463
25,0.2769758477807045,0.19750668502347543
26,0.2195453643798828,0.18363123055004535
27,0.15154317766427994,0.17168707142492917
28,0.16370104253292084,0.15986099891383024
29,0.1159457191824913,0.1508351384394501
30,0.305512472987175,0.14165658659491626
31,0.044563546776771545,0.1370620024295362
32,0.22422032244503498,0.13331546982848064
33,0.2789420261979103,0.13628440250280724
34,0.07836411334574223,0.1412921450280882
35,0.049911968410015106,0.14691935875918843
36,0.14109869301319122,0.15318693334996375
37,0.21733609214425087,0.15576428909254555
38,0.10700178239494562,0.15881365500925743
39,0.05465725064277649,0.16327012610219682
40,0.11792175471782684,0.1693539976011214
41,0.07162680104374886,0.17285902138228312
42,0.12503648921847343,0.17970573906381873
43,0.011818307568319142,0.18840946457767432
44,0.0254670106805861,0.1956926348770895
45,0.015544546768069267,0.20185875305068293
46,0.008083174470812082,0.20719176677538031
47,0.07375246658921242,0.21195377622715483
