,precision,recall,f1-score,support
No Event,0.5277777777777778,0.5757575757575758,0.5507246376811594,33.0
Pacemaker,0.5333333333333333,0.48484848484848486,0.5079365079365079,33.0
accuracy,0.5303030303030303,0.5303030303030303,0.5303030303030303,0.5303030303030303
macro avg,0.5305555555555556,0.5303030303030303,0.5293305728088337,66.0
weighted avg,0.5305555555555556,0.5303030303030303,0.5293305728088337,66.0
