epoch,train_loss,validation_loss
1,0.7008498731781455,0.26904234341794914
2,0.6653414859491236,0.26897017248438493
3,0.6651468680185431,0.26910075899310426
4,0.6599344891660354,0.26890708073772684
5,0.6430462072877323,0.2687413957655958
6,0.6197032323654961,0.26905691149851463
7,0.5896891443168416,0.26810893328734825
8,0.6118761309806038,0.26882425798458054
9,0.5818671691505348,0.26819466331894964
10,0.5787448858951821,0.2677624782331808
11,0.5541103850392735,0.2664756318026808
12,0.5560786640819382,0.2669315856906963
13,0.5484299659729004,0.26784004485052726
14,0.5479508261470234,0.26851345632897716
15,0.5218547544277766,0.266899753417535
16,0.5443240868694642,0.2675359369269414
17,0.5034674228552509,0.2667330303833304
18,0.4835381917655468,0.26652692609828926
19,0.5139991131556385,0.2668991087183826
20,0.4827054312781376,0.26754814994857784
21,0.5041998866945505,0.2675767340820991
22,0.5231444418211194,0.2677802051433777
23,0.49865472053780274,0.2677521135372954
24,0.4685755792786093,0.2675127817751799
25,0.4619339283774881,0.2687246482046347
26,0.5123333711834515,0.26739249709500534
