feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
DM,Diabetes Mellitus,Patient,1.553220251808416,0.12483065522400005,82.99038788091053,0.393198445482854
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.19368327747876196,0.0424817427129331,10.34872569121712,0.393198445482854
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.07295872665164611,0.0058658703447462745,3.89827071664031,0.393198445482854
CT_Area_Deri,Area-Derived Diameter,Patient,0.030448939240654328,0.004817945908771843,1.6269226950923588,0.393198445482854
BMI,BMI,Patient,0.0032996244469136295,0.0006184057029225539,0.1763028214394373,0.393198445482854
model4,Model Size:29mm,Procedural,0.0021507016642037025,0.0008242530218363852,0.114914523629583,0.393198445482854
CABGPRE,CABG,Patient,0.0018594680541001662,0.0015421771758512331,0.09935356874355852,0.393198445482854
CT_ValScRCC,RCC Valvular Calcification,Radiomics,-0.0016699802949668996,0.0018744397314345168,0.08922901454022197,0.393198445482854
model2,Model Size: 23mm,Procedural,0.00136289603550096,0.0010948210322861726,0.0728211407853387,0.393198445482854
AFPRE,AF,Patient,0.001122168716831895,0.0005606212873538594,0.059958796551404854,0.393198445482854
NTPROBNPPRE,NT-proBNP,Patient,0.0011136577225288936,0.0008678115820426571,0.059504044099113605,0.393198445482854
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,0.0011035382835695607,0.0009825070995950755,0.05896335055394868,0.393198445482854
PQADM,PQ Interval,Electrocardiographic,0.001002354889272572,0.0014025944532663512,0.0535570025939364,0.393198445482854
LVEFPRE,LVEF,Patient,0.000897236720466299,0.0007087757165720344,0.047940414996390915,0.393198445482854
brand2,Brand: Sapien 3,Procedural,0.0006184908731171723,0.00026506092938909646,0.033046695985991026,0.393198445482854
PREDILATION,Predilation,Procedural,-0.0005287361413504943,0.0009391142238022197,0.02825099492891875,0.393198445482854
SEX,Sex,Patient,0.0004925484339374009,0.0003004277415481072,0.02631744308961144,0.393198445482854
nyha3,NYHA Class:3,Patient,-0.00048187019026588727,0.0004402122551728224,0.025746891950354792,0.393198445482854
CT_AnnMean,Mean Annulus Diameter,Patient,0.00045367063988352994,0.0039751019246140095,0.024240156751934406,0.393198445482854
CT_ValScNCC,NCC Valvular Calcification,Radiomics,-0.000384032166786985,0.000297503874422253,0.020519291094286855,0.393198445482854
nyha2,NYHA Class:2,Patient,0.0003718793056240455,0.0002090272515700225,0.019869949405237328,0.393198445482854
model8,Model Size:27mm,Procedural,0.0003229708634650996,0.0004463665283112732,0.01725671372234163,0.393198445482854
QRSADM,QRS,Electrocardiographic,0.0002628335069016385,0.00019354441968138402,0.014043503914187612,0.393198445482854
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.00024260320093985043,0.00023244684341009383,0.012962574833612258,0.393198445482854
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.00019877366434430943,0.0001126459554166305,0.010620711058356014,0.393198445482854
model3,Model Size:26mm,Procedural,-0.0001692629037126525,0.00034601049295827533,0.009043916351597323,0.393198445482854
ECC_INDEX,Eccentricity Index,Patient,-0.00015398041133465323,0.0003208692208434069,0.008227354779752933,0.393198445482854
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,0.00013013207687828654,0.00010042453195179797,0.006953110174364102,0.393198445482854
AGE,Age,Patient,0.0001281589402140071,0.0005389449494164001,0.006847683157867284,0.393198445482854
CT_AnnScTot,Total Annular Calcification,Radiomics,0.00012447192159379395,0.00030157665984546837,0.0066506814093648635,0.393198445482854
model7,Model Size:25mm,Procedural,0.00012106421385370547,0.0001916761941933363,0.0064686035702396965,0.393198445482854
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.00011846560996189303,0.0005108805176171323,0.006329757102921707,0.393198445482854
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.00010818933005053432,0.0001636956540070864,0.0057806833609179474,0.393198445482854
nyha4,NYHA Class:4,Patient,-9.151899481755211e-05,0.00020126987688143797,0.004889967710333802,0.393198445482854
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,8.722546299457789e-05,0.00013757546369521804,0.00466055924688324,0.393198445482854
CT_AnnScLCC,LCC Annular Calcification,Radiomics,4.5325075672253413e-05,0.00017877736539869855,0.0024217721899983994,0.393198445482854
brand8,Brand: Evolut R,Procedural,3.741864748814105e-05,0.0003218275971116734,0.001999322417670178,0.393198445482854
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.393198445482854
