epoch,train_loss,validation_loss
1,0.6792560237295487,0.2728445903815456
2,0.6369917217422935,0.27439871046868886
3,0.6231475779238869,0.275583844235002
4,0.6019827986464781,0.2783276390209822
5,0.5927740028675865,0.27866959139861613
6,0.5732890766333131,0.2776355734896927
7,0.5464192775680738,0.28038997149179357
8,0.5291423753780478,0.2825210021211583
9,0.5119142023956075,0.2834817381587876
10,0.5522327712353539,0.2793523625056114
11,0.5174225362784722,0.2800107933051308
12,0.5054316877880517,0.2804310920817503
13,0.485248360563727,0.2788949057050854
14,0.5360334322733038,0.28131887715487114
15,0.48961370383553643,0.2821942346490491
16,0.47898393628351826,0.28224871976184307
