epoch,train_loss,validation_loss
1,0.6497710442289393,0.32511170886525964
2,0.615221751497147,0.32692191223752337
3,0.6124478252010143,0.32914536840711967
4,0.5926919081743728,0.3289216970720393
5,0.6039484495178182,0.3255198819700547
6,0.5874520749487775,0.3267781078927784
7,0.5784686590604325,0.3261243879908646
8,0.575063065090712,0.3270300436987796
9,0.5524013391200532,0.32601884053988445
10,0.5343874049313525,0.3330062596597579
11,0.5476765744784411,0.32965093998149453
12,0.5469056544627281,0.32620529759096456
13,0.5231677258902407,0.3258989126045781
14,0.5102459280652568,0.3247780325500554
15,0.5308066784859972,0.32406651159865935
16,0.49296248724010394,0.32189734913974494
17,0.48579949370407044,0.32401555741516114
18,0.4872988512184709,0.32925383026760896
19,0.4800560038853833,0.3195342373900124
20,0.4554176490080166,0.31912473783549705
21,0.4643220307919732,0.31940559722939793
22,0.45191928791873,0.3186274425179105
23,0.446813321038288,0.3194112214777952
24,0.4501558402949508,0.3204354061566455
25,0.4460058178395984,0.32205996978262974
26,0.4736869200826325,0.31666577095093135
27,0.4074922002891594,0.3189859670505346
28,0.42593951176534944,0.3206974394942981
29,0.37809944489693387,0.3245947528023902
30,0.3780065643046289,0.33271149229814007
31,0.40707053791018244,0.3281291614710511
32,0.40766585067390126,0.3241181639532257
33,0.36751459144610676,0.3265810049163372
34,0.43652608073217436,0.32226998156642045
35,0.38024799785319163,0.3197723485293386
36,0.35497552500740487,0.32015126910316427
37,0.3812915817921129,0.3206819971627316
38,0.4223715337488721,0.3227814587675393
39,0.3845039305049292,0.3241474185873032
40,0.3745940958863085,0.32703502547909247
41,0.3402157825729909,0.3283520088438393
