epoch,train_loss,validation_loss
1,0.6788449230346274,0.3675267879871872
2,0.6558156634898896,0.36861484675046813
3,0.651973194898443,0.3676010645972831
4,0.6434188383690854,0.3697759827665068
5,0.6368623312483442,0.3703859431285377
6,0.6153315698846857,0.3716729760461462
7,0.6044230036278988,0.37132635937585107
8,0.5841474076534839,0.3760748767643962
9,0.585452361785351,0.3747931900897442
10,0.5776028894680612,0.37371197180182675
11,0.5658700103138355,0.37474340047620086
12,0.5537222714183179,0.37534814938124
13,0.5473361382300549,0.37102532909288777
14,0.5458943462990066,0.37051784295282275
15,0.5471583023033244,0.37293031000256316
16,0.5268944198305302,0.3795240459929206
