epoch,train_loss,validation_loss
1,0.7668726994441106,0.7046211004541661
2,0.7082610267859238,0.6964053181527393
3,0.6953763732543359,0.6912567948844175
4,0.6870803374510545,0.6891298955678498
5,0.6818956411801852,0.6885996472624926
6,0.6855569527699397,0.6884263556907058
7,0.6842336792212266,0.6884138661062088
8,0.6769683911250188,0.6881921377044614
9,0.6742483881803659,0.6875152525551003
10,0.6719437700051528,0.687351246904093
11,0.6708862368877118,0.6864463377423368
12,0.6633728375801673,0.6866687954299173
13,0.631804305773515,0.6865457469267301
14,0.6293386610654684,0.6859192448992982
15,0.6025411555400262,0.6787797340034927
16,0.6063269789402301,0.6780154177869536
17,0.6086404736225421,0.673947381019231
18,0.6129257403887235,0.6752465837630175
19,0.5742004628364856,0.6731019718500478
20,0.554425774858548,0.6706782072599823
21,0.5441353882734592,0.6696304114480889
22,0.5086858461682613,0.6744539468319689
23,0.5598451907818134,0.6725798918103603
24,0.5514902908068436,0.668087850145648
25,0.4896017439090289,0.6633378056808498
26,0.4578296123788907,0.6636416468576835
27,0.4618894520860452,0.6702575724610546
28,0.39531014071634185,0.6679716698478988
29,0.48924152438457197,0.6694837513376359
30,0.5282796174287796,0.6689638295925859
31,0.5301324243728931,0.6752154276725597
32,0.512321640092593,0.6737995047695003
33,0.45507154499108976,0.6751791392027862
34,0.43211888206692844,0.6777762670615837
35,0.4147899280517147,0.6794039142593439
36,0.45085966759003127,0.6722229574010803
37,0.4506943392065855,0.6701804562727681
38,0.3854636767735848,0.6725939119462171
39,0.3631100361593641,0.6766399864342282
40,0.34693006311471647,0.6766798907409117
