epoch,train_loss,validation_loss
1,0.6709857779614469,0.3846507651698662
2,0.6498523475007808,0.38322200253142846
3,0.6343575969655463,0.38208228309257675
4,0.6285249327725553,0.3823332092380575
5,0.6189819289014694,0.38354763851639573
6,0.6061178292048738,0.3815873905185596
7,0.6004599174286457,0.37863817944478384
8,0.584802176407043,0.37949417552740544
9,0.5729552928279055,0.38382405402438435
10,0.5808393693667777,0.38855003392780085
11,0.559684543157036,0.3979831089018976
12,0.5293306096437129,0.3982389451130787
13,0.5373210747270508,0.402636964030513
14,0.5016446518810823,0.4053106875905249
15,0.5536962284686717,0.4108781009181286
16,0.5312634857094034,0.4195148810269602
17,0.5086417158352251,0.40384457244790767
18,0.49087793237351357,0.4163508770526704
19,0.4876352060150276,0.41263729536959104
20,0.5070219068451131,0.41643102108376834
21,0.45714076216075017,0.4126500044882665
22,0.4424072788493272,0.4180103770642023
