accuracy,f1_score,auc_roc,log_loss,no_event_accuracy,pacer_accuracy,true_negatives,false_positives,false_negatives,true_positives,data_percentage,fold_model,best_validation_loss,epochs_trained,training_samples,validation_samples,final_context_samples,test_samples,training_dataset,test_dataset,test_file
0.7679324894514767,0.7317073170731707,0.8646337988030778,0.4084906713794015,0.8842975206611571,0.646551724137931,107,14,41,75,20,1,0.4068821387564333,16,144,36,180,237,merged,merged,/home/ubuntu/TAVI_final/dataset/construct/dataset_splits/merged/test.xlsx
0.7763713080168776,0.7389162561576355,0.865916215445996,0.4073143010357426,0.9008264462809917,0.646551724137931,109,12,41,75,20,2,0.30517004123907615,16,144,36,180,237,merged,merged,/home/ubuntu/TAVI_final/dataset/construct/dataset_splits/merged/test.xlsx
0.7721518987341772,0.7326732673267327,0.8637076090054147,0.44036147413600407,0.9008264462809917,0.6379310344827587,109,12,42,74,20,3,0.3487555934057184,32,144,36,180,237,merged,merged,/home/ubuntu/TAVI_final/dataset/construct/dataset_splits/merged/test.xlsx
0.7679324894514767,0.7417840375586855,0.8652750071245369,0.4192651849426385,0.8512396694214877,0.6810344827586207,103,18,37,79,20,4,0.48042812247392686,29,144,36,180,237,merged,merged,/home/ubuntu/TAVI_final/dataset/construct/dataset_splits/merged/test.xlsx
0.7637130801687764,0.7281553398058253,0.8659874608150471,0.4095673177436809,0.8760330578512396,0.646551724137931,106,15,41,75,20,5,0.4469123364493471,17,144,36,180,237,merged,merged,/home/ubuntu/TAVI_final/dataset/construct/dataset_splits/merged/test.xlsx
