feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
model4,Model Size:29mm,Procedural,0.038569078821086934,0.012958663543703623,22.878528013067825,0.6998114279633061
model7,Model Size:25mm,Procedural,0.025595510576364933,0.008359183201675417,15.182825818748352,0.6998114279633061
brand2,Brand: Sapien 3,Procedural,0.016168061480606677,0.028344538604289978,9.59062178324119,0.6998114279633061
CT_AnnMean,Mean Annulus Diameter,Patient,-0.012267059808347369,0.026772208070671148,7.276613288202577,0.6998114279633061
BMI,BMI,Patient,0.008441764015918474,0.003292786289093462,5.007512246113218,0.6998114279633061
model2,Model Size: 23mm,Procedural,0.008286970999264166,0.006134711797113691,4.915691635510077,0.6998114279633061
CT_ValScLCC,LCC Valvular Calcification,Radiomics,0.007672366852785895,0.00487983671487364,4.5511188063953965,0.6998114279633061
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,0.007641635694321236,0.004813204204217743,4.532889600738991,0.6998114279633061
nyha4,NYHA Class:4,Patient,-0.0071186624548001285,0.004689037960546041,4.222670682471051,0.6998114279633061
DM,Diabetes Mellitus,Patient,0.006421534127934803,0.012952688452359747,3.8091458993442244,0.6998114279633061
CT_Area_Deri,Area-Derived Diameter,Patient,0.005559691040811466,0.002240833968301962,3.297915094401073,0.6998114279633061
CT_ValvScTot,Total Valvular Calcification,Radiomics,0.0049416703626933515,0.003138395544360922,2.9313156362556017,0.6998114279633061
PQADM,PQ Interval,Electrocardiographic,-0.003837641336055975,0.000984181631126044,2.2764242106570833,0.6998114279633061
model8,Model Size:27mm,Procedural,-0.0030581681508690785,0.010420875631118275,1.8140538443473846,0.6998114279633061
AGE,Age,Patient,0.0018603015912791233,0.0020018593470395676,1.1034995745235339,0.6998114279633061
model3,Model Size:26mm,Procedural,-0.001367995462275684,0.0017009141651439144,0.8114718697484798,0.6998114279633061
nyha2,NYHA Class:2,Patient,-0.001307147971777689,0.0005257272095801919,0.7753781631204089,0.6998114279633061
CT_ValScRCC,RCC Valvular Calcification,Radiomics,0.0012637223776848616,0.003606973823979452,0.749618832036938,0.6998114279633061
NTPROBNPPRE,NT-proBNP,Patient,-0.0010889437125657596,0.004668376609816841,0.6459430713436913,0.6998114279633061
QRSADM,QRS,Electrocardiographic,-0.0009463856136357584,0.0022256404384761856,0.5613800078858068,0.6998114279633061
CT_AnnScTot,Total Annular Calcification,Radiomics,0.0007878804535522033,0.001152493487222767,0.4673574163168121,0.6998114279633061
CT_AnnScNCC,NCC Annular Calcification,Radiomics,0.0005136224065172224,0.0003347844311459562,0.3046721616078365,0.6998114279633061
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.0005079364555163668,0.004652662683833201,0.301299351231487,0.6998114279633061
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.0004605439060627825,0.0002743153481038115,0.2731868890356897,0.6998114279633061
ECC_INDEX,Eccentricity Index,Patient,0.00038995982040039844,0.0010815002512152784,0.23131759813054276,0.6998114279633061
PREDILATION,Predilation,Procedural,-0.00035719657450279386,0.015017053084397467,0.21188299243138978,0.6998114279633061
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,-0.0003567960580648677,0.0007537554184084122,0.21164541282552743,0.6998114279633061
AFPRE,AF,Patient,0.0003309476923245791,0.0032938847942404472,0.1963125975818848,0.6998114279633061
nyha3,NYHA Class:3,Patient,-0.0002934616603909923,0.0023228757421758514,0.17407651474284042,0.6998114279633061
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.0002771171724817112,0.0006923136726408177,0.16438123977331506,0.6998114279633061
CT_ValScNCC,NCC Valvular Calcification,Radiomics,-0.00022284444766986766,0.0022610166373391,0.1321875734243428,0.6998114279633061
LVEFPRE,LVEF,Patient,0.0002204945190594776,0.002253967027653399,0.13079363534791344,0.6998114279633061
CT_AnnScRCC,RCC Annular Calcification,Radiomics,0.00021383680641378077,0.0003790353411573389,0.1268443923293259,0.6998114279633061
SEX,Sex,Patient,0.00013406440426453337,0.0029772924416846427,0.07952474682502511,0.6998114279633061
CT_AnnScLCC,LCC Annular Calcification,Radiomics,-6.217819353979693e-05,0.00037499779044666566,0.036883057262037756,0.6998114279633061
CABGPRE,CABG,Patient,3.880141004288795e-05,0.0026636320565693763,0.023016342981139578,0.6998114279633061
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.6998114279633061
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.6998114279633061
