feature,feature_pretty,group,raw_delta_log_loss,repeat_std_raw,importance_percent,baseline_test_log_loss
PQADM,PQ Interval,Electrocardiographic,0.0033515783350376747,0.0020847879494230743,17.82292663363572,0.6924960126812283
NTPROBNPPRE,NT-proBNP,Patient,-0.0018407347625760018,0.0023121251032051683,9.788606246318322,0.6924960126812283
AGE,Age,Patient,0.0016217387561587194,0.0019867002446386727,8.624035597728493,0.6924960126812283
model4,Model Size:29mm,Procedural,0.0013965241695264696,0.0005565472617371192,7.426395962572521,0.6924960126812283
model7,Model Size:25mm,Procedural,-0.001372583221008261,0.0008880583856805639,7.2990834768344,0.6924960126812283
DM,Diabetes Mellitus,Patient,0.0009631473295300897,0.0006694335560344229,5.121797098441976,0.6924960126812283
CT_LVOTScTot,Total LVOT Calcification,Radiomics,0.000770840723934274,0.0011737065478973066,4.099154576002109,0.6924960126812283
CABGPRE,CABG,Patient,-0.0006620612401220472,0.0013883474696430045,3.520690173436297,0.6924960126812283
nyha4,NYHA Class:4,Patient,-0.0005434988821554354,0.00042723980394328916,2.8902026847629876,0.6924960126812283
nyha3,NYHA Class:3,Patient,-0.0004882421053700625,0.001261389369391446,2.596359790398468,0.6924960126812283
CT_LVOTScLCC,LCC LVOT Calficication,Radiomics,-0.00046642602441107075,0.0003660859958573015,2.480346864100209,0.6924960126812283
CT_AnnMean,Mean Annulus Diameter,Patient,-0.00044402864848847035,0.0005097962168947391,2.361242744205014,0.6924960126812283
model3,Model Size:26mm,Procedural,0.000440959909503702,0.00094007911499396,2.344923892513102,0.6924960126812283
QRSADM,QRS,Electrocardiographic,-0.0004409555197743886,0.0003552441081332035,2.344900548937129,0.6924960126812283
ECC_INDEX,Eccentricity Index,Patient,-0.0003975373600997534,0.00011136980052074889,2.1140127112999383,0.6924960126812283
CT_ValScNCC,NCC Valvular Calcification,Radiomics,0.00034524906230180006,8.96906443889103e-05,1.8359555089042372,0.6924960126812283
CT_Peri_Deri,Perimeter-Derived Diameter,Patient,-0.0003423601972604606,0.0004915209048680289,1.8205931856823665,0.6924960126812283
CT_ValScRCC,RCC Valvular Calcification,Radiomics,-0.00030881491282142015,0.0006441688992242862,1.6422070393073216,0.6924960126812283
nyha2,NYHA Class:2,Patient,0.00029174655373016557,0.00017206056043230668,1.5514414114657271,0.6924960126812283
CT_LVOTScRCC,RCC LVOT Calcification,Radiomics,-0.00029112882309059176,0.0008836704636184678,1.5481564612816974,0.6924960126812283
CT_Area_Deri,Area-Derived Diameter,Patient,-0.00025786642550649217,9.553851293438837e-05,1.371274642467349,0.6924960126812283
AFPRE,AF,Patient,-0.00025048419714284175,0.00017523159246871255,1.3320176413277331,0.6924960126812283
PREDILATION,Predilation,Procedural,-0.00023047168531606932,0.001000855597372512,1.2255956829582824,0.6924960126812283
CT_AnnScLCC,LCC Annular Calcification,Radiomics,-0.0002161002928935174,0.0001563815941697455,1.149171906705578,0.6924960126812283
SEX,Sex,Patient,-0.00018258579337673275,0.0002814033450946214,0.9709494675024799,0.6924960126812283
model2,Model Size: 23mm,Procedural,0.0001713535895130569,0.0006524136780217269,0.9112191776555968,0.6924960126812283
model8,Model Size:27mm,Procedural,0.00015633110423241003,0.001129999567159961,0.8313330385751471,0.6924960126812283
CT_LVOTScNCC,NCC LVOT Calcification,Radiomics,-0.00011637147102152578,0.00037726854335062685,0.6188368532468165,0.6924960126812283
CT_AnnScNCC,NCC Annular Calcification,Radiomics,-8.656450215838163e-05,0.0002329049465281525,0.46033021365400784,0.6924960126812283
BMI,BMI,Patient,-7.734281577034263e-05,0.00010904623941280052,0.4112913956695943,0.6924960126812283
brand2,Brand: Sapien 3,Procedural,7.550376039935358e-05,0.0026217432663019962,0.40151172004343494,0.6924960126812283
CT_AnnScTot,Total Annular Calcification,Radiomics,7.113067761272962e-05,0.00015544758279782767,0.3782566664903042,0.6924960126812283
CT_ValvScTot,Total Valvular Calcification,Radiomics,4.4616792886253975e-05,0.00023960553842507503,0.23726189476961335,0.6924960126812283
CT_AnnScRCC,RCC Annular Calcification,Radiomics,4.450169086263056e-05,0.00016765392181664345,0.23664980854713807,0.6924960126812283
LVEFPRE,LVEF,Patient,-3.505002164436721e-05,0.0005208301864645701,0.18638799449927781,0.6924960126812283
CT_ValScLCC,LCC Valvular Calcification,Radiomics,-8.439492157741314e-06,0.00032710191497792833,0.044879288059628965,0.6924960126812283
model1,Model Size: 20mm,Procedural,0.0,0.0,0.0,0.6924960126812283
brand8,Brand: Evolut R,Procedural,0.0,0.0,0.0,0.6924960126812283
