epoch,train_loss,validation_loss
1,0.7567955209658697,0.6366538421008349
2,0.702614582501925,0.641987911692945
3,0.6860310756243192,0.645765349630902
4,0.6764961435244634,0.6465989529769458
5,0.6700971447504483,0.6458297912004467
6,0.6641038197737473,0.6446519280817705
7,0.6571975579628577,0.6449657421850739
8,0.6571086438802572,0.6462732450680793
9,0.6572944476054265,0.6453512713247427
10,0.6507075795760522,0.64613229409158
11,0.6455533045988816,0.6444134375197673
12,0.6571287054281968,0.6498779151536433
13,0.6475303287689502,0.6464459230512118
14,0.6392200359931359,0.6446415434725513
15,0.6301676103701959,0.6447291666299674
16,0.6361024975776672,0.6462860518838254
